X,Y,Z,V_x,V_y,V_z
-46.25,-56.27387227803356,-1.6810790103151003,206.22184248386426,-8.005922427088237,19.015010919443544
-44.25466667660767,-54.656638647611345,-1.2477425650710152,173.42001299930988,29.75375839199114,29.132686901372814
-42.95230534410569,-52.47774567162015,-0.663909951760328,129.226227686487,54.39963968403437,35.736530890329114
-41.25,-50.0,0.0,78.97090928492854,65.24338046345507,38.64210247510732
-41.63873794937127,-47.508773190286476,0.6675222118255004,34.96348452164415,58.836344204389846,36.92534228361387
-42.770410724735044,-45.23890281518479,1.2757321457573279,-5.133687428019783,40.18452871562768,31.927603386025744
-44.54446423373608,-43.392076818684785,1.770587680080307,-37.75779687279477,10.945229655489143,24.09295681560954
-46.80326603679404,-42.13239379523789,2.1081187289320975,-60.01004851996642,-26.283512939981982,14.117545301926913
-49.346111681118785,-41.57178210950526,2.258334177391607,-69.91323215828551,-68.19376191553214,2.887727934340963
-51.94705817211775,-41.76005456996809,2.2078867236535706,-66.58740646208192,-111.06160772958538,-8.598676732796486
-54.375,-42.680482342294184,1.9612588453676165,-50.32808563960894,-151.07805415912037,-19.321051237553668
-56.41420387851098,-44.25128137968161,1.5403645118280702,-22.579981698797525,-184.68746432959006,-28.32666555081739
-57.883477594146164,-46.33287929432047,0.9826020316342794,14.19136455466277,-208.90349465488111,-34.8153313203667
-58.65226972946988,-48.7403169765531,0.3375310488517901,56.718657637756934,-221.57444457029283,-38.210502117536464
-58.65226972946988,-51.2596830234469,-0.3375310488517905,101.22316093210017,-221.57444457029283,-38.210502117536464
-57.88347759414617,-53.66712070567953,-0.982602031634279,143.75045401519426,-208.90349465488111,-34.8153313203667
-56.41420387851098,-55.74871862031839,-1.5403645118280704,180.52180026865463,-184.68746432959006,-28.32666555081739
-54.375,-57.31951765770582,-1.9612588453676172,208.26990420946606,-151.0780541591203,-19.321051237553654
-51.94705817211775,-58.23994543003191,-2.2078867236535706,224.529225031939,-111.06160772958542,-8.598676732796495
-49.346111681118785,-58.42821789049474,-2.258334177391607,227.8550507281426,-68.19376191553211,2.8877279343409716
-46.80326603679404,-57.86760620476211,-2.108118728932097,217.95186708982345,-26.28351293998191,14.117545301926933
-44.54446423373608,-56.607923181315215,-1.7705876800803073,195.69961544265186,10.945229655489115,24.092956815609533
-42.770410724735044,-54.76109718481521,-1.2757321457573276,163.07550599787686,40.18452871562768,31.927603386025744
-41.63873794937127,-52.49122680971352,-0.6675222118254995,122.97833404821287,58.836344204389846,36.92534228361387
-40.0,-50.0,0.0,78.97090928492854,65.88576355259046,38.814228505072556
-40.34074173710932,-47.5,0.6698729810778067,40.15668077985598,60.94989211913723,37.49166574053492
-41.33974596215561,-45.170370868554656,1.2940952255126035,3.987577803858727,46.47864930005416,33.61410791368693
-42.928932188134524,-43.16987298107781,1.830127018922193,-27.07153504751787,23.45822637860232,27.445804182461
-45.0,-41.63483696262192,2.241438680420133,-50.904030561063294,-6.542572866169024,19.40711425253628
-47.41180954897479,-40.66987298107781,2.499999999999999,-65.88576355259046,-41.47924354439358,10.045861558073929
-50.0,-40.34074173710932,2.5881904510252074,-70.99575367721114,-78.97090928492852,2.376686035005553e-15
-52.588190451025206,-40.66987298107781,2.5,-65.88576355259046,-116.46257502546345,-10.045861558073916
-55.0,-41.63483696262192,2.2414386804201336,-50.904030561063294,-151.399245703688,-19.40711425253627
-57.071067811865476,-43.16987298107781,1.8301270189221932,-27.071535047517898,-181.40004494845937,-27.445804182460993
-58.66025403784438,-45.170370868554656,1.2940952255126046,3.9875778038586702,-204.42046786991122,-33.61410791368692
-59.65925826289068,-47.5,0.6698729810778074,40.15668077985593,-218.8917106889943,-37.49166574053492
